0,0,0,0
0,0,0,0
1,-0.2557137,12,1
1,-0.2557137,12,1
1,-0.2553944,12,1
1,-0.2553041,12,1
1,-0.2552567,12,1
1,-0.2551897,12,1
1,-0.2551193,12,1
1,-0.2550575,12,1
1,-0.2550192,12,1
1,-0.2550156,12,1
1,-0.2550461,12,1
1,-0.2551025,12,1
1,-0.2551726,12,1
1,-0.2552457,12,1
1,-0.2553159,12,1
1,-0.2553763,12,1
1,-0.2553799,12,1
1,-0.2553644,12,1
1,-0.2553485,12,1
1,-0.2553512,12,1
1,-0.255381,12,1
1,-0.2554333,12,1
1,-0.2554962,12,1
1,-0.2555592,12,1
1,-0.2555965,12,1
1,-0.2555691,12,1
1,-0.2555194,12,1
1,-0.255468,12,1
1,-0.2554378,12,1
1,-0.2554393,12,1
1,-0.2554667,12,1
1,-0.2555075,12,1
1,-0.2555126,12,1
1,-0.2554854,12,1
1,-0.2554495,12,1
1,-0.2554224,12,1
1,-0.2554191,12,1
1,-0.2554411,12,1
1,-0.2554802,12,1
1,-0.2555158,12,1
1,-0.2555066,12,1
1,-0.255486,12,1
1,-0.2554651,12,1
1,-0.2554607,12,1
1,-0.2554784,12,1
1,-0.2555134,12,1
1,-0.2555562,12,1
1,-0.2555899,12,1
1,-0.255558,12,1
1,-0.2555128,12,1
1,-0.2554699,12,1
1,-0.2554522,12,1
1,-0.2554709,12,1
1,-0.2555192,12,1
1,-0.2555826,12,1
1,-0.2556293,12,1
1,-0.2556193,12,1
1,-0.2555948,12,1
1,-0.2555712,12,1
1,-0.255569,12,1
1,-0.2555938,12,1
1,-0.2556383,12,1
1,-0.2556867,12,1
1,-0.2556789,12,1
1,-0.2556596,12,1
1,-0.2556369,12,1
1,-0.2556284,12,1
1,-0.2556418,12,1
1,-0.2556724,12,1
1,-0.2557088,12,1
1,-0.2556954,12,1
1,-0.2556745,12,1
1,-0.2556521,12,1
1,-0.2556431,12,1
1,-0.2556545,12,1
1,-0.2556819,12,1
1,-0.2557138,12,1
1,-0.2557098,12,1
1,-0.255689,12,1
1,-0.2556521,12,1
1,-0.2556303,12,1
1,-0.2556314,12,1
1,-0.255658,12,1
1,-0.2557019,12,1
1,-0.2557431,12,1
1,-0.2557548,12,1
1,-0.2557363,12,1
1,-0.2557176,12,1
1,-0.2557099,12,1
1,-0.2557217,12,1
1,-0.2557516,12,1
1,-0.2557871,12,1
1,-0.2557949,12,1
