Display	X Pos	Y Pos	Start Time (secs)	Stop Time (secs)	Duration (secs)	Average Pupil Diameter	Average Pupil Area	Std. Dev. Pupil Diameter	Std. Dev. Pupil Area	Median Pupil Diameter	Median Pupil Area	Samples in Fixation
2	738.512	998.8906	0.712443	0.853072	0.140629	5.1645195344463	20.9489102698233	0.0268132983830869	0.217584713940902	5.15837990678847	20.898568044628	10
4	387.3994	152.8624	3.123514	6.064077	2.940563	4.90808029720498	18.9219294926605	0.0538208968162493	0.414783630012092	4.90661081857979	18.9083270501246	182
4	315.4663	161.4381	6.225648	7.854294	1.628646	4.99334376960034	19.58636806666	0.0682375175619173	0.536636945916282	4.98365401290357	19.5067828540434	101
4	244.3056	161.3693	7.959006	8.096166	0.137160000000001	4.96958672172493	19.3983811145238	0.044651473779335	0.349310627567173	4.95824264362454	19.3083620554453	9
4	216.8658	160.9373	8.355472	8.554456	0.198983999999999	5.0517157293283	20.0437513333638	0.0257878369376241	0.204597839088694	5.05201588384807	20.045610895601	13
4	221.7952	161.2513	9.028039	9.128771	0.100732000000001	5.04853769338557	20.0204393049122	0.0555174247378879	0.438978078801497	5.06288884207606	20.1319881503916	7
4	213.5745	176.5347	20.809965	20.937669	0.127704000000001	5.00805696679486	19.7002904809719	0.0505400878568161	0.399112981309708	4.99305222183466	19.5804242752715	9
4	220.0637	187.3186	21.130138	21.230893	0.100754999999999	5.02862249101911	19.8626282459175	0.0532877837079145	0.421714612214639	5.00397570431232	19.6661916077672	7
4	210.5806	174.9375	23.344139	23.957503	0.613364000000001	5.01885014968232	19.7846062822441	0.0410642253390388	0.323879098236244	5.01580256968737	19.7592633076091	39
4	204.4268	185.1066	24.019348	24.164943	0.145595	5.09650760795921	20.4117381783917	0.121005898710442	0.966105026866214	5.1285489462316	20.6575537200772	10
4	200.2051	174.8327	24.179907	24.352432	0.172525	5.07561062377962	20.2477590148561	0.135736014963468	1.08267497907213	5.04851248115301	20.0178186247421	11
4	202.0185	169.4485	24.706494	24.859092	0.152598000000001	5.03120664507151	19.8832467268277	0.0556390592241221	0.439756485687017	5.02824108116329	19.8573854188272	10
4	199.7417	177.2067	24.977276	25.124967	0.147691000000002	5.00699188560247	19.6968267628022	0.0938669148773295	0.738766050583997	4.98626497574151	19.5272276227314	10
4	213.336	180.5778	25.673505	26.137279	0.463774000000001	4.9324680183982	19.1099037036274	0.0473744553344327	0.366201750604109	4.92169056087732	19.0247295390652	29
4	202.1671	180.0655	26.16419	26.975037	0.810846999999999	4.91522623262569	18.9770545116993	0.0537338719867232	0.415659263066586	4.90841828286648	18.9222602606089	51
4	198.2422	178.4894	27.010935	27.112671	0.101735999999999	4.99691075778433	19.6124272354795	0.046912718879431	0.366092255093991	5.00385416671634	19.665236306317	7
4	211.0717	177.3728	27.405884	27.653211	0.247326999999999	4.876210792538	18.6833506843044	0.104638550004849	0.797853209199222	4.93645598180592	19.1390518469768	17
4	216.7617	171.0051	28.309448	29.019548	0.710100000000001	4.76969739215242	17.8716351080551	0.0697089373570051	0.523537908138214	4.78117750026286	17.9539336360894	45
4	205.9543	181.7698	29.217021	29.351666	0.134645000000003	4.85853845667508	18.5574378946779	0.150558432112227	1.14494629958034	4.90212999284267	18.8738078125952	9
4	217.119	168.5259	30.817741	32.522182	1.704441	4.8797959439843	18.7146320168801	0.125702403051041	0.972802482561859	4.88034845329821	18.7064571816801	106
4	129.067	215.6439	37.521819	37.704336	0.182516999999997	4.70039943077912	17.3549506869604	0.0570500017347493	0.422050306078591	4.68574836850166	17.2443888219659	12
4	152.2091	108.4141	38.203	38.361576	0.158575999999996	4.6978411688046	17.334927911624	0.0424744028523883	0.314160742515785	4.68899216502905	17.268272584384	11
2	642.926	780.4065	38.963969	39.420157	0.456188000000004	4.54327598984899	16.2139470183959	0.0536824005059485	0.382416993427667	4.56865993328393	16.3933437916708	29
4	345.7681	123.1158	45.710484	45.851122	0.140637999999996	4.39661591210299	15.1838785806676	0.0498314439487477	0.345196864209484	4.3909945525229	15.1431309528611	9
4	356.7869	129.6115	45.878043	46.042613	0.164570000000005	4.40033609894189	15.2092657803365	0.045616381493893	0.314129933531686	4.40329639241099	15.2281000064702	11
4	347.4471	144.997	49.31386	49.660927	0.347067000000003	4.61867921562357	16.7568612910198	0.0574521064460957	0.415920166991719	4.62676561437547	16.812987107481	22
4	64.00842	151.3112	50.530599	50.656264	0.125664999999998	4.43286029621959	15.4349073703297	0.045651149251741	0.320135540091302	4.42043365910649	15.3468636874816	8
4	57.56902	153.104	50.698172	50.799884	0.101711999999999	4.48811380192637	15.8210143355282	0.0278494304150788	0.196562221630826	4.49365982785821	15.859528344061	7
2	614.7278	1005.031	51.499014	51.854662	0.355647999999995	4.51796659794839	16.0325863269224	0.0360657128100433	0.254922295619645	4.52432222664356	16.0767011165669	23
2	617.1248	808.6678	52.500898	53.176085	0.675187000000001	4.78785601444542	18.0059792422629	0.0485756921551456	0.366749544818274	4.77370363660157	17.8978468775434	43
4	114.1046	91.09821	57.170865	58.317802	1.146937	4.70785582890838	17.4098167034018	0.0544112816923973	0.404956015038327	4.69627452548593	17.32195211021	72
4	266.5121	67.03934	58.466398	58.762612	0.296213999999999	4.7766464076152	17.9216800135969	0.0473370681201043	0.355052682485726	4.78487997315824	17.981750922049	19
2	665.0438	1020.201	59.303692	59.58396	0.280268	4.83075909218506	18.3291211802864	0.0335931578588517	0.254312771603663	4.83984081074595	18.3972129755319	19
